SFI Rank (for all words in 'NGSL Stats & Frequencies to 34K' list)	Lemma/Word (map to 'Front' in Anki)	Outline in dictionary, or an outline that works without your having to add anything to the dictionary	Outline added to dictionary	Simplified outline/notes (please see the Readme for more information regarding this column)	Alternate outline/notes (note: alternate outlines may have been remapped to another outline. In addition, outlines identified as such in this section are likely original outlines unless otherwise specified.)	Story for remembering new outline (or original outline, if there is no new outline)	Story for remembering original outline (if there is also a new outline) (note: outlines identified as such in this section are likely original outlines unless otherwise specified.)	Word number	NIO (Non-intuitive outline)? (I should note that with respect to this column, my bar for what constitutes an 'intuitive' outline is pretty low; if the outline has some resemblance to the word it's representing (such as the same first letter), even if it's pretty weak, I'll probably consider it an intuitive outline. However, this list doesn't follow any set standards.)	NIVLO (Non-Intuitive Vowel-less Outline?) (I have found that vowel-less outlines that aren't intuitive tend to be less than ideal. However, not all NIVLOs are poor outline choices, and it's certainly the case that not all 'voweled'/intuitive outlines are good outline choices. I should note that with respect to this column, my bar for what constitutes an 'intuitive' outline is pretty low; if the outline has some resemblance to the word it's representing (such as the same first letter), even if it's pretty weak, I'll probably consider it an intuitive outline. However, this list doesn't follow any set standards.)	Outline that you might want to change in the future? (Example: it's a 3-or 4-keypress vowel-less outline that you don't really like.)	Wordlist	Tags (for Anki)	Within-NGSL Rank	1337 Column	#of characters in added-in outline (or pre-existing outline if there's no addition)	# of strokes, if greater than 1, in the added-in outline (or the original outline if there was no addition)	#Of characters in the original outlines (e.g. excluding added-in outlines)	#of strokes in the original outline (excluding added-in outlines)	#number of characters in the original English word (counting capitalization and punctuation, but not spaces before/after words)
539.00	kill	KEUL						676				1 - NGSL	Top1K	533	2A3	4.000		4		4
540.00	serve	SEFRB	SKUB	"I also added in SKURB for ""server."""		You dine at a groundbreaking underwater restaurant whose waiters serve you food in SKUB-a (scuba) gear.		677				1 - NGSL	Top1K	534	2A4	4.000		5		5
541.00	likely	HREULG	HR-PT			"If you like burritos, it's quite likely that you'll like TACOS (-T) as well."	"Recording executives believe it's highly likely that HREULG (Li'l G) will become the next hip-hop sensation. (Also note that it appears that –LG can sometimes function as a KL sound. Note WAOELG for “weekly,” SROELG for “vocal”, and ELG for “exactly.”)"	678				1 - NGSL	Top1K	535	2A5	4.000		6		6
542.00	certainly	SERPBL	ERLT	"ERLT is based on the addition of ERT for ""certain."""				679				1 - NGSL	Top1K	536	2A6	4.000		6		9
543.00	national	TPHAT	ALGS	"ALGS is based on the addition of AGS for ""nation,"" which overwrites ""addition,"" for which I added in AEB. ALGS overwrites ""additional,"" for which I added in AEBL. I also added in A*LGS for ""nationally."""			"Washington, America's national capital, is repesented in Major League Baseball by the NAT-s (Nats)."	680				1 - NGSL	Top1K	537	2A7	4.000		5		8
544.00	itself	*EUTS	T-FL			A dog will find itself quite lonely if all it does is T-FL (tussle) with other dogs.		681				1 - NGSL	Top1K	538	2A8	3.000		5		6
545.00	teach	TAOEFP	TAUP	"TAUP overwrites ""taupe,"" so I added in TA*UP for ""taupe."""		It's hard to keep students alert and awake when you teach in a classroom painted TAUP (taupe). The color isn't very inspiring.		682				1 - NGSL	Top1K	539	2A9	4.000		6		5
546.00	field	TPAOELD	TP-L	"TP-L overwrites one way to write a period. For ""fields"" you could use TP-LZ, or you could enter in TP-LS as an outline--though this overwrites one way to write ""unless."""		The state of F-L (Florida) is extremely flat. It's essentially a big grassy field with a lot of buildings on the coast.		683				1 - NGSL	Top1K	540	2AA	3.000		7		5
547.00	security	SKURT	SK-RT or SKR-T	"These additions are similar to SKUR for ""secure."""		"If you're in charge of keeping a bank vault secure, SK-RT-ing (skirting) around security measures won't be a good plan."	A kayak spray SKURT (skirt) gives you security from being drenched in cold water. But I would just hate to be trapped by it if my kayak went underwater.	684				1 - NGSL	Top1K	541	2AB	4.000		5		8
548.00	air	AEUR						685				1 - NGSL	Top1K	542	2AC	4.000		4		3
549.00	benefit	PWEF		"I also added in PWEFR for ""beneficiary."""				686				1 - NGSL	Top1K	543	2AD	4.000		4		7
550.00	trade	TRAEUD	TEFL	"I also added in TEFRL for ""trader."""		"Back in the day, many stock market trades took place over the TEFL (telephone)."	A ton of trade occurs on the border between the U.S. and CANADA (AEU).	687				1 - NGSL	Top1K	544	2AE	4.000		6		5
551.00	risk	REUFBG	REUF	"R*EUF overwrites ""riff,"" for which I added in R*EUF. I also added in REUFG for ""risking,"" which overwrites one way to write ""risk."" I also added in RO*EUF for ""risky."""	REUFG	"If you play a REUF (riff) on your guitar too loudly, there's a risk that you'll blow your speakers."		688				1 - NGSL	Top1K	545	2AF	4.000		6		4
552.00	news	TPHUS	TPH-S	"TPH-S overwrites ""^s in."""		"The better your command of Spanish, the more easily you'll be able to read the news N S (in SPAIN (-S))."		689				1 - NGSL	Top1K	546	2B0	4.000		5		4
553.00	standard	ST-D						690				1 - NGSL	Top1K	547	2B1	3.000		3		8
554.00	vote	SROET	SROT	"I also added in SRORT for ""voter,"" which overwrites ""sorority,"" for which I added in SRO*ERT. In addition, I added in in SROGT for ""voting."" This overwrites ""Vogt,"" for which I added in SRO*GT."		"An ocean kingdom is governed by the law of ""One OCTOPUS (O), One Vote."""		691				1 - NGSL	Top1K	548	2B2	4.000		5		4
555.00	percent	PWERS	PERS	"PERS overwrites {&%} (% with a space before it), which I don't see myself using very often. Note that P*ERS maps to {^%}."		98 percent of consumers are opposed to buying a PERS (purse) made from ELEPHANT (E) skin.	"If an ELEPHANT (E) charges through the forest, there's a 99.999 percent chance that it will collect some BERS (burs) on its legs."	692				1 - NGSL	Top1K	549	2B3	4.000		5		7
556.00	focus	TPOEUBG	TP-F	"I also added in TP-FS for ""focuses,"" which overwrites ""all of a sudden,"" for which you can use TP-FZ."		"If a child gets not one F but two Fs (F-F) on his or her report card, the issue may be a lack of focus caused by ADHD. "	It takes a lot of focus to land a F(o)K-er (Fokker) F70 on the runway--especially if it runs out of OIL (OEU) and the engines stop working!	693				1 - NGSL	Top1K	550	2B4	3.000		7		5
557.00	stage	STAEUPBLG	SKOB	"I also added in SKOBD for ""staged."""		"You get a SK(a)B (scab) on your leg after tripping on a trained OCTOPUS (O) and falling off a stage that was being set up for a performance of ""Eight Legs And A Cold Heart."""		694				1 - NGSL	Top1K	551	2B5	4.000		9		5
558.00	space	SPAEUS	SPO	"I also added in SPO* for ""Space"" and SPOS (which overwrites ""suppose,"" for which I added in SPOF) for ""spaces."") "		"Installing a PO (pipe) organ in the SPACE SHUTTLE (S-) allows astronauts to organize a space concert with music that's out of this world. (PO is an addition for ""pipe."")"		695				1 - NGSL	Top1K	552	2B6	3.000		6		5
559.00	instead	STPHED	STEB	"I also added in STEBS for ""instead,"" (with a comma)."	"STPH- is sometimes used to represent the ""inst-"" sound; see, for instance, the original outlines for ""install,"" ""instead,"" ""instant,"" and ""institution."""	"Instead of going to the STE (state) of Florida for spring break like everyone else, a group of high schoolers decides to explore BRAZIL's (-B) Amazon. (STE is an addition for ""state."")"	"You want to show off your knowledge of the periodic table to your friends, so you refer to tin as SN (Sn) instead of its actual name."	696				1 - NGSL	Top1K	553	2B7	4.000		6		7
560.00	realize	RAEFL	RAER	"RAER overwrites ""rather,"" for which I added in ROR. I also added in RA*ERT for ""realization."""		It's pretty RAER (rare) for someone not to realize that she is pregnant until she's giving birth in the ACCIDENT & EMERGENCY DEPARTMENT (AE)—but it does happen.	"Beating Roger Federer made RAEFL (Rafael) Nadal realize that he was one of the top tennis players in the world, or perhaps the best player."	697				1 - NGSL	Top1K	554	2B8	4.000		5		7
561.00	usually	AOURBL	ULGS	"ULGS is based on the addition of UGS (which overwrites a misstroke entry for ""us"") for ""usual."""	"The original outline is interesting because it adds AO to turn ""usual"" into ""usually,"" rather than some stroke involving an L."			698				1 - NGSL	Top1K	555	2B9	4.000		6		7
562.00	data	TKAET	TKUS	"I also added in TK*US for ""datum,"" which overwrites one way to write ""dust."""		"Data becomes DUS-ty (dusty) after a while, so it's important not to rely on outdated statistics when making decisions."	It may not be a great idea to try to impress your TKAET (date) with all the data you know about the melting points of different elements.	699				1 - NGSL	Top1K	556	2BA	4.000		5		4
563.00	single	SEUPBLG	S-L	"I also added in S*LS for ""singles"" (as S-LS maps to ""is also,"" a far more common term according to Google N-Grams); S-LG for ""singling""; and S-LD for ""singled."""			"In the history of EUROPE (EU), one or more castles experienced a SEUPBLG (siege) every single year from 500 to 1800 AD."	700				1 - NGSL	Top1K	557	2BB	2.000		7		6
564.00	address	A/TKRES	AEUP	"AEUP overwrites ""ape,"" for which I added in A*EUP, which overwrites ""API,"" for which I added in PA*EUP, which overwrites one way to write ""paper."""	AD/RES	Most addresses in the U.S. don't allow you to keep a pet AEUP (ape).		701				1 - NGSL	Top1K	558	2BC	4.000		6	2	7
565.00	performance	PORPLS	PAUT	"PAUT is similar to the addition of PAUP for ""perform."""		It won't do any good to PAUT (pout) about a skating performance at the Olympics just because you didn't win the GOLD (AU) medal.		702				1 - NGSL	Top1K	559	2BD	4.000		6		11
566.00	chance	KHAPBS	KHAP	"KHAP overwrites ""chap,"" for which I added in KHA*P."		"There's a good chance you will get KHAP-ed (chapped) lips in the winter if you live in Barrow, Alaska."		703				1 - NGSL	Top1K	560	2BE	4.000		6		6
567.00	accept	SEP				"If a college accepts you, and you accept their offer to attend, they'll see you in SEP (September)."		704				1 - NGSL	Top1K	561	2BF	3.000		3		6
568.00	society	SOET						705				1 - NGSL	Top1K	562	2C0	4.000		4		7
569.00	technology	TOPBL	TEFP	"TEFP overwrites ""tech,"" for which I added in T*EFP. I also added in TEFPT for ""technician."""		Wild new technology is produced in TOKYO (T-) EFP (each) year.	A tunnel boring machine is a piece of technology that lets you create a TOPBL (tunnel.)	706				1 - NGSL	Top1K	563	2C1	4.000		5		10
570.00	mention	PHEPBGS	PH-FP	"I also added in PH-FPD for ""mentioned,"" which replaces ""merchandised."" In addition, I added in PH*FP (which overwrites ""Ms. Chairperson,"" for which I added in PH*URPB) for ""mention that,"" along with similar outlines for derivative forms of ""mention that."""		Someone who's a bit of a braggart never misses the opportunity to mention that he's on a first-name basis with M-CH (M.C. Hammer).		707				1 - NGSL	Top1K	564	2C2	4.000		7		7
571.00	choice	KHOEUS	KHUT	"KHUT is based on the addition of KHU for ""choose."""				708				1 - NGSL	Top1K	565	2C3	4.000		6		6
572.00	save	SAF						709				1 - NGSL	Top1K	566	2C4	3.000		3		4
573.00	common	KPHOPB	KPHO	"I also added in KPHOR for ""commoner."""		"The KANGAROO (K-) is the MO (most) common animal that people associate with Australia. (PHO is an addition for ""most."")"	"A stereotype about Jamaica is that it's common to hear people say ""KMON"" (OK mon!) there."	710				1 - NGSL	Top1K	567	2C5	4.000		6		6
574.00	culture	KURLT	KRAU	"KRAU overwrites ""craw,"" for which I added in KRA*UR."		Eating KRAU-fish (crawfish) is an important part of Cajun culture.		711				1 - NGSL	Top1K	568	2C6	4.000		5		7
575.00	total	TOELT	TOLT			"An obnoxious person who scored well on the SATs TOLT (told) everyone on Facebook: ""I know that I had a higher total score than you!"""		712				1 - NGSL	Top1K	569	2C7	4.000		5		5
576.00	demand	TKPHAPBD	TKOP			A town demands a DOP-ler (Doppler) radar system so that they can more easily detect tornadoes.		713				1 - NGSL	Top1K	570	2C8	4.000		8		6
577.00	hundred	HUPB				"If a hundred HUNs (Huns) came running towards my house, I would probably jump out the window and run for my life."		714				2 - Sup	Top1K		2C9	4.000		4		7
578.00	material	TERL		"I also added in TERLT for ""materiality."""				715				1 - NGSL	Top1K	571	2CA	4.000		4		8
579.00	limit	HREUPLT	HR-RP	"I also added in HR-RPLS for ""limitless."""		"LRP can stand for ""Limits Require Patience."" If you're not a patient person, you may ignore the limits you've set and follow your own impulses."		716				1 - NGSL	Top1K	572	2CB	4.000		7		5
580.00	listen	HREUFPB	HR-FR	"HR-FR overwrites ""elevator,"" for which I added in HR-FRT."		"It's important to listen to the safety instructions when riding a ROLLER COASTER (-R)—as otherwise you may not L-F (live) through the experience! (HR-F is an addition for ""live."")"		717				1 - NGSL	Top1K	573	2CC	4.000		7		6
581.00	due	TKAOU	TKU	"TKU overwrites ""you did,"" for which I added in TKO*UD, which is based on the addition of TKOUD for ""did you."""		A town becomes on edge when they learn that the due date for their URANIUM (U) power plant's safety inspection was two years ago.		718				1 - NGSL	Top1K	574	2CD	3.000		5		3
582.00	wrong	WROPBG	WROG	"I also added in WROLG for ""wrongly"" and WRO*G for ""wronging."""		"It would be wrong if someone WRO (wrote) a forged check to obtain 2 G ($2,000)."		719				1 - NGSL	Top1K	575	2CE	4.000		6		5
583.00	foot	TPAOT	TPAO	"I also added in TPAOS for ""feet"" and TPAOD (which overwrites ""food,"" for which I added in TP-D, which overwrites ""pharmacodynamic,"" for which I added in TPRA*PL) for ""footed"")."		A mom sets foot in F.A.O. Schwartz to buy toys for her kids for Hanukkah.		720				1 - NGSL	Top1K	576	2CF	4.000		5		4
584.00	effort	EFRT						721				1 - NGSL	Top1K	577	2D0	4.000		4		6
585.00	attention	A/T-PBGS	AUGS	"AUGS replaces ""auscultating."" I added in STAEULT (which overwrites ""stately,"" for which I added in ST*EL) for ""auscultate."""		A precious metals investor pays careful attention to the price of GOLD (AU).		722				1 - NGSL	Top1K	578	2D1	4.000		6	2	9
586.00	upon	POPB		PON				723				1 - NGSL	Top1K	579	2D2	4.000		4		4
587.00	check	KHEBG	KHEP	"I also added in KHEPT for ""checkup."""		It won't HEP (help) a batter to check his swing if the pitcher throws a perfect K (strike).		724				1 - NGSL	Top1K	580	2D3	4.000		5		5
588.00	complete	KPHRAOET	KHRE			The city of KLE-veland (Cleveland) argues that your life won't be complete until you visit the Rock and Roll Hall of Fame there.		725				1 - NGSL	Top1K	581	2D4	4.000		8		8
589.00	lie	HRAOEU	HRUG	"HRUG overwrites ""lug,"" for which I added in HRAOUG. (I also added in HRAO*UG for ""lugging"" and HRAOUGS for ""lugs,"" which overwrites one way to write ""losing."") I would also add in HRUG/D (as well as HRUGD) for ""lied."" in addition, I added in HR*URG for ""liar"" and HR*UG for ""lying."""		LUG-ing (lugging) drugs in your car and then lying to the police about it are both very bad ideas.		726				1 - NGSL	Top1K	582	2D5	4.000		6		3
590.00	pick	PEUBG	P-BG	"P-BG overwrites one way to write ""become."" I also added in P-BGS for ""picks,"" which overwrites ""People's Exhibit#G,"" and P*BG for ""picking."""				727				1 - NGSL	Top1K	583	2D6	3.000		5		4
591.00	reduce	RAOUS	ROUR	"I also added in ROURS for ""reduces,"" which overwrites ""resource,"" for which I added in RORS, which overwrites one way to write ""roars."""		The ROUR (roar) of drilling machines in OKLAHOMA (OU) can reduce workers' hearing ability unless they protect their ears.	"Investors reduce the value of a start-up company's stock because they have a feeling that the business is just a RAOUS (ruse), and not a real enterprise."	728				1 - NGSL	Top1K	584	2D7	4.000		5		6
592.00	personal	PERPBL	PERL	"PERL is based on the addition of PER for ""person."" PERL overwrites ""pearl,"" for which I added in PA*ERL. I also added in PERLS for ""personals."""				729				1 - NGSL	Top1K	585	2D8	4.000		6		8
593.00	ground	TKPWROUPBD	ROUP	"I also added in ROURP for ""grounder,"" which overwrites one way to write ""resource,"" for which I added in RORS."		A OUP (group) of elite soldiers lands on the ground of Soviet RUSSIA (R-) to rescue a hostage.		730				1 - NGSL	Top1K	586	2D9	4.000		10		6
594.00	animal	PHAPBL	PHUL	"PHUL overwrites ""mull,"" for which I added in PH*UL, which overwrites ""muscle,"" for which I added in PHOUL."		"A family MUL-s (mulls) over what kind of animal to get. Should they adopt a dog, a cat, or a komodo dragon?"	Sometimes a MANL (man'll) act as irrationally and violently as an animal.	731				1 - NGSL	Top1K	587	2DA	4.000		6		6
595.00	arrive	A/REUF	ROF	"I also added in ROFG for ""arriving,"" which overwrites one way to write ""roving."""		It's ROF (rough) for OCTOPUSES (O) when snorkelers arrive and destroy their habitats.	"Story for A/REUF: If you come up with a catchy guitar REUF (riff), your band could finally arrive on the music scene."	732				1 - NGSL	Top1K	588	2DB	3.000		5	2	6
596.00	patient	PARBT	P-RB or P-RB	"P-RB overwrites ""punish,"" for which I added in PUFP. I also added in P-RBL and PR-BL for ""patiently."""		Listening to soothing R&B music helps a PING PONG (P-) player learn to be more patient during rallies.	An American doctor may need interpretation for a PARBT-o (Pashto)-speaking patient.	733				1 - NGSL	Top1K	589	2DC	3.000		5		7
597.00	ten	TEPB						734				2 - Sup	Top1K		2DD	4.000		4		3
597.01	tenth	TA*EPBT	T*EPB	"With numbers, I usually use the outline for the cardinal number (in this case, TEPB for ""ten"") with an asterisk to represent the ordinal number (thus T*EPB for ""tenth."")"			"TAEPBT by itself is ""tenant."" Your apartment is meant to have just nine tenants, but there's a tenth tenant--a PORCUPINE (*) who raids everyone's kitchen."	735				5.2 - Sup (no frequency data)	Top1K		2DE	5.000		7		5
598.00	current	KURPBT	KER	"KER overwrites ""ker."""		An ELEPHANT (E) doesn't KER (care) about current fashion trends. That's because elephants are always in fashion.		736				1 - NGSL	Top1K	590	2DF	3.000		6		7
599.00	century	KROEURPBT	STRE	"I also added in STRES for ""centuries,"" which overwrites ""stress,"" for which I added in STREF."		It seems that E-products are at the STR (center) of the 21st century so far.		737				1 - NGSL	Top1K	591	2E0	4.000		9		7
600.00	evidence	AEFD			*EFD	"Both an AE (Accident and Emergency) and a FD (fire department) are committed to finding evidence behind why something happened, be it a fire or a car crash."		738				1 - NGSL	Top1K	592	2E1	4.000		4		8
601.00	exist	KPEUFT	KPEU	"KPEU overwrites ""xi,"" for which I added in KPAOE. You can use KPEUZ for ""exists."""		"Once fusion power exists and is economically viable, it will KPE (compete) quite well against URANIUM (U) power plants. (KPE is an addition for ""compete."")"		739				1 - NGSL	Top1K	593	2E2	4.000		6		5
602.00	similar	SHRAR	SHR-R	"I also added in SHR-RL for ""similarly."""	SEUPL	"If you want to take a trip on the SPACE SHUTTLE (S-), you're out of luck: it is L-R (already) out of service. The best you can do is find something similar to ride on. (HR-L is an outline for ""already."")"	"(A story for SEUPL, if you prefer to use that outline: You may find, after playing a lot of SIM (simulator) games, that they're pretty similar. Garbage Truck Simulator and Dump Truck Simulator aren't really that different. )"	740				1 - NGSL	Top1K	594	2E3	4.000		5		7
603.00	fight	TPAOEUT	TP-P	"This overwrites one way to write a period. I also added in TP-PS for ""fights,"" which this overwrites ""fps,"" and TP-PD for ""fought."""		"F-P (FP) stands for ""Flower Points"" in Paper Mario games. The more FP you have, the more powerful you'll be when you fight enemies."		741				1 - NGSL	Top1K	595	2E4	3.000		7		5
604.00	leader	HRAOERD	HR*E			"A PORCUPINE (*) wouldn't make a great leader of a country, but at least it wouldn't sign any bad bills into law—as it couldn't even write to begin with."		742				1 - NGSL	Top1K	596	2E5	4.000		7		6
605.00	fine	TPAOEUPB	TP-PB	"TP-PB overwrites ""finance,"" for which I added in TPOPB. I also added in TP-PBL for ""finely,"" which overwrites ""financial,"" for which I added in TP-PL; TP-PBG for ""fining""; TP-PBS for ""fines,"" which overwrites another way to write ""finance""; and TP-PBD for ""fined."""		"In my P-N (opinion), TOKYO (T-) is a fine place to live if you like anine. (P-PB is an outline for ""opinion."")"		743				1 - NGSL	Top1K	597	2E6	4.000		8		4
606.00	street	STRAOET	ST-F			"A high schooler gets an F on his driving test because he drove off the street and knocked over its ""Main ST"" sign."		744				1 - NGSL	Top1K	598	2E7	3.000		7		6
607.00	former	TPORPL/*ER	TPR-R	FR-R		"If you're going sightseeing with a former edition of a FR-R's (Frommer's) Travel Guide that came out decades ago, you might find that a destination you were excited to visit closed down long ago."		745				1 - NGSL	Top1K	599	2E8	4.000		9	2	6
608.00	contact	KABGT	KABG	"I believe KABG would normally map to ""cabbing."" Note that KABGS for ""contacts"" is already in the dictionary. I also added in KA*BG for ""contacting,"" which overwrites ""CAC."""		A cold-hearted pitcher KAK-les (cackles) as he prepares to contact the batter with a bean ball.		746				1 - NGSL	Top1K	600	2E9	4.000		5		7
609.00	particularly	PRARL	PRAL	"PRAL overwrites ""principal,"" for which I added in PRAUL."		"LASER (-L) tag isn't a sport that people PRA (practice) particularly hard for, so getting some training may give you a competitive edge."		747				1 - NGSL	Top1K	601	2EA	4.000		5		12
610.00	wife	WAOEUF	WEUF			"A mother tells her son: ""Don't be rude to ladies, or else you may WEUF (whiff) on finding a wife!"""		748				1 - NGSL	Top1K	602	2EB	4.000		6		4
611.00	sport	SPORT	SPUF			Huffing and PUF-ing (puffing) while playing a sport can help an astronaut prepare for the rigors of the SPACE SHUTTLE (S-).		749				1 - NGSL	Top1K	603	2EC	4.000		5		5
612.00	prepare	PRAEP	PREP	"PREP overwrites ""prep,"" for which I added in PR*EP, which overwrites ""),"" for which I added in both PR* and P*R. I also added in PREPS for ""prepares"" and PREPD for ""prepared."""		PREP-pers (preppers) are people who prepare for future calamities.	"To prepare for a test, you do some PREP (prep) work and review your notes. That's the best way to get an A on it."	750				1 - NGSL	Top1K	604	2ED	4.000		5		7
613.00	discuss	SKUS	SKU	"SKU overwrites ""ask you,"" for which I added in SK*U. I also added in SKUS for ""discusses,"" which overwrites the original outline for ""discuss."""	"If you use SKUS for ""discuss,"" I would also recommend adding in SKUZ and SKUSZ for ""discusses."""	Who would want to discuss something as boring as a SKU (stock keeping unit)? 	Who would want to discuss something as boring as SKUS (SKUs--stock keeping units)? 	751				1 - NGSL	Top1K	605	2EE	3.000		4		7
614.00	response	SPOPBS	RAUT	"RAUT is similar to the addition of RAUR for ""respond."" I also added in both RA*UFT and RAUFR for ""responsive."""		A proposal for selling TACOS (-T) with RAU (raw) meat in them gets a cool response from focus groups.	"A populist politician says that ""the members of Congress are all PONS (pawns) in the hands of Wall Street and the big corporations,"" and gets a raucous response from the crowd."	752				1 - NGSL	Top1K	606	2EF	4.000		6		8
615.00	voice	SROEUS	SRAT	"SRAT overwrites ""vat,"" for which I added in SRA*T. I also added in SRATS for ""voices."""		Brits voice strong displeasure with a politician's proposal to double the VAT (value-added taxi) on tea.		753				1 - NGSL	Top1K	607	2F0	4.000		6		5
616.00	piece	PAOES	PAE	"PAE overwrites ""pea,"" for which I added in PA*E. You can use PAEZ for ""pieces"" to avoid a conflict with PAES for ""peace."""		"It would take a while to eat a bowl of PAE-s (peas) piece by piece, which is why most people just use a spoon."	"In the summer, you have to try your hardest to not let the MOSQUITOES (AOE) get a piece of you!"	754				1 - NGSL	Top1K	608	2F1	3.000		5		5
617.00	finish	TP*EURB	TP-G	"I also included TP*G for ""finishing"" and TP-GS for ""finishes,"" which overwrites ""physician,"" for which I added in -FG."		"After you finish a roll of TP (Toilet Paper), you may think to yourself: ""G (gee), I wish we had some more of this!"""		755				1 - NGSL	Top1K	609	2F2	3.000		7		6
618.00	suppose	SPOS	SPOF	"Using -F instead of -S makes it easier to write ""supposed,"" ""supposing,"" ""supposes,"" etc. I try to avoid -S as an ending for verbs due to the challenges it creates when trying to write derivative forms of the verbs in one stroke. I also added in both SPOFL and SPOFLD for ""supposedly"" and SPOFT for ""supposition."""		"I suppose that it would SP-F (surprise) everyone if you got your friend an OCTOPUS (O) for her birthday. (SP-F is an addition for ""surprise."")"	"Your friend tells you: ""I suppose if I knew what POS (Part of Speech) meant, I would have done better on my grammar test."""	756				1 - NGSL	Top1K	610	2F3	4.000		4		7
619.00	apply	A/PHRAOEU	P-L			"Thousands of aspiring PING PONG (P-) stars apply for a workshop that will purportedly teach them to serve the ball with ""LASER (-L) speed."""		757				1 - NGSL	Top1K	611	2F4	2.000		8	2	5
620.00	president	PREZ	PRED	"PRED overwrites ""Pred."" I use PREZ, the original outline for ""president,"" for ""President."""		The U.S. president picks up a RED (red) phone to  . . . challenge the leader of RUSSIA (R-) to a PING PONG (P-) match.		758				1 - NGSL	Top1K	612	2F5	4.000		4		9
621.00	fire	TPAOEUR	TPUR	"TPUR overwrites one way to write ""fur."" I also added in TPURS for ""fires"" (which overwrites one way to write ""further"")."		A URANIUM (U) FUR (fire) is not something that you can put out with any old fire extinguisher—so be careful!		759				1 - NGSL	Top1K	613	2F6	4.000		7		4
622.00	compare	KPAR				"When you finish a round of golf, you compare your score to the PAR for the course to see if you made it under par."		760				1 - NGSL	Top1K	614	2F7	4.000		4		7
623.00	court	KORT						761				1 - NGSL	Top1K	615	2F8	4.000		4		5
624.00	police	PHREUS	PHR-F	"PHR-F overwrites ""plaintiff,"" for which I added in PHRAF. I also added in PHR-FS for ""polices"" and PHR-FD for ""policed,"" which overwrites one way to write ""police department,"" for which I added in PHR*FD."		A teenager who lives in a police state hopes that becoming a champion PING PONG (P-) player will give him the opportunity to defect to another country.		762				1 - NGSL	Top1K	616	2F9	4.000		6		6
625.00	store	STOR						763				1 - NGSL	Top1K	617	2FA	4.000		4		5
626.00	poor	PAOR						764				1 - NGSL	Top1K	618	2FB	4.000		4		4
627.00	knowledge	TPHOPBLG	K-BG	"K-BG is based on the addition of K-G for ""know."""		"K-K (KK) is an expression used to convey that you understand the knowledge someone has passed on to you. (For example: ""I'm going to Chick-fil-A."" ""KK."")"		765				1 - NGSL	Top1K	619	2FC	3.000		8		9
628.00	laugh	HRAF				The way that Laffy Taffy is spelled may help you remember that this outline is spelled HRAF.		766				1 - NGSL	Top1K	620	2FD	4.000		4		5
629.00	arm	ARPL						767				1 - NGSL	Top1K	621	2FE	4.000		4		3
630.00	heart	HART						768				1 - NGSL	Top1K	622	2FF	4.000		4		5
631.00	source	S-RS	S-R	"S-R overwrites ""Sr.,"" for which I added in SR-FPLT (similar to PHR-FPLT for Mr.{-|}). I also added in S-RS for ""sources,"" which overwrites the original outline for ""source."""		An intense ROLLER COASTER (-R) is a source of thrills similar to those you can find on the SPACE SHUTTLE (S-).	"Anki is a type of SRS (Spaced Repetition Software), and it's my #1 source for learning and remembering Plover outlines. [Very meta story, huh?]"	769				1 - NGSL	Top1K	623	300	2.000		3		6
632.00	employee	PHROE	PHR-B	"PHR-B is similar to the addition of PHRO for ""employ."""		"Your boss sternly reminds the company that ""employees caught playing PING PONG (P-) instead of working L B (will be) terminated."""	"A person in DEBT (OE) chooses to travel to PL (Poland), as he has an offer for a high-paying job there."	770				1 - NGSL	Top1K	624	301	4.000		5		8
633.00	manage	PHAPBG	PH-P	"I also added in PH*PL for ""manageable."" (Note that PH-PL maps to ""multiple."")"		"A protester asks an MP (Member of Parliament: ""Are you in office to manage the country, or just to inflate your ego?"""	"Sure, you've rowed a boat before, but do you really think you can manage PHAPBG (manning) a battleship??"	771				1 - NGSL	Top1K	625	302	3.000		6		6
634.00	simply	SAO*EPL	SP*	"SP* is based on the addition of SP- for ""simple."""	"SAO*EPL is the same outline as that for ""simple"" (S*EUPL), except that an A and E have been added to highlight the long E sound at the end of the word."	"To put it simply, finding a veterinarian who can treat your pet PORCUPINE (*)'s pilar cyst will not be a SP- (simple) task. (SP- is an outline for ""simple."")"		772				1 - NGSL	Top1K	626	303	3.000		7		6
635.00	bank	PWA*PBG	PWAP	"I also added in PWA*P for ""bankrupt""; PWA*PT for ""bankruptcy""; and PWAPT for ""embankment."""		A BAP-tist (Baptist) takes money out of her bank account to support a local food drive.		773				1 - NGSL	Top1K	627	304	4.000		7		4
636.00	firm	TPEURPL	TPOT	"TPOT overwrites a misstroke entry for ""not,"" for which I use OT."		Your firm will have to fork over a large POT (pot) of cash to purchase office space in TOKYO (T-).		774				1 - NGSL	Top1K	628	305	4.000		7		4
637.00	cell	KREL		"I also added in KRELT for ""cell phone."""				775				1 - NGSL	Top1K	629	306	4.000		4		4
638.00	article	ARL				"If you happen to be looking for a particular research article, I'm sure that one of the members of the ARL (Association of Research Libraries) will have it. The ARL includes some of the most prominent  libraries in the United States."		776				1 - NGSL	Top1K	630	307	3.000		3		7
